愛;あい;love
あいかわらず;あいかわらず;as ever, as usual, the same
挨拶;あいさつ;*greeting
愛情;あいじょう;love, affection
合図;あいず;sign, signal
アイスクリーム;アイスクリーム;ice cream
愛する;あいする;to love
間;あいだ;*space, interval
相手;あいて;companion, partner, company, other party, addressee
アイデア, アイディア;アイデア, アイディア;idea
あいにく;あいにく;likes and dislikes, Sorry, but...
あいまい;あいまい;ambiguous, vague
アイロン;アイロン;iron (for clothing)
遭う;あう;meet, encounter (often something unpleasant)
アウト;アウト;out
青;あお;the color blue, the color green (noun), green light
扇ぐ;あおぐ;to fan, to flap
青白い;あおじろい;pale;
赤;あか;the color red (noun)
明かり;あかり;lamplight, brightness
赤ん坊;あかんぼう;baby
空き, 明き;あき;emptiness, space, spare time
明らか;あきらか;obvious, clear
諦める;あきらめる;give up, abandon
飽きる;あきる;get tired of, lose interest in
あきれる;あきれる;be amazed, be shocked
空く;あく;become empty
握手;あくしゅ;handshake
アクセサリー;アクセサリー;accessory
アクセント;アクセント;accent
あくび;あくび;yawn (and stretch)
悪魔;あくま;evil spirit, devil, demon
飽くまで;あくまで;to the end, stubbornly, persistently
明くる~;あくる~;next, following
明け方;あけがた;dawn
明ける;あける;to dawn, become daylight
憧れる;あこがれる;long for, yearn after, admire, be attracted by
浅い;あさい;shallow, superficial
アジア;アジア;Asia
足跡;あしあと;footprints
足元;あしもと;at one's feet, underfoot, gait, pace, step
味わう;あじわう;to taste, savor, relish
預かる;あずかる;take charge of, receive deposit
預ける;あずける;put in charge of, to deposit
汗;あせ;sweat
与える;あたえる;give, to award
温かい;あたたかい;warm, mild, genial
暖まる, 温まる;あたたまる;get warm
暖める, 温める;あたためる;warm up, heat
辺り;あたり;neighbourhood, vicinity, nearby 
あたりまえ;あたりまえ;usual, common, ordinary, natural, reasonable, obvious
当たる;あたる;be hit, be successful, confront, lie (in the direction of), undertake, be equivalent to, be applicable, be assigned
あちこち;あちこち;here and there
あっち;あっち;over there (colloquial)
あちらこちら;あちらこちら;here and there
扱う;あつかう;to handle, deal with
厚かましい;あつかましい;impudent, shameless, brazen
